id,labels,nombre,apellido,telefono,dpi,fecha_nacimiento,id_cliente,nit,membresia,num_membresia,fecha_inicio,puesto,id_empleado,salario,planilla
33,Persona|Cliente,Richard,York,001-987-385-7702x7522,1344918778556,1988-12-23,17,3768730,True,120301,,,,,
34,Persona|Cliente|Personal,Kayla,Stephens,001-745-940-3388x4843,9751733991042,1966-10-30,18,8128587,False,,2024-02-24,Cajero,15,3951.03,True
35,Persona,Michael,Woodward,+1-337-218-8120x48433,4938454358458,1994-11-13,,,,,,,,,
36,Persona|Cliente,Jeremiah,Harvey,(581)361-2767x46599,6449813173844,2005-05-29,19,3755460,False,,,,,,
37,Persona,Laura,Austin,220.401.3603x444,2285678552616,1969-10-29,,,,,,,,,
38,Persona|Cliente,Jorge,Howard,220-222-4139,6550000150935,1983-06-24,20,9549595,False,,,,,,
39,Persona|Cliente,Tammy,Morales,256-350-8609,1167088558702,2000-11-26,21,5999003,True,217432,,,,,
40,Persona|Cliente,Erin,Jackson,001-681-874-9582x999,4656569228125,1985-02-13,22,8437239,False,,,,,,
41,Persona,Ethan,Smith,820-793-3922,3457235794147,1993-08-30,,,,,,,,,
42,Persona|Cliente|Personal,Amber,George,001-950-702-5049,1506059514128,1996-06-19,23,1012352,False,,2021-03-04,Gerente,16,12216.67,True
43,Persona|Cliente|Personal,Michele,Trujillo,513-682-2773x657,4668443312573,1992-05-10,24,3378880,False,,2015-12-23,Cajero,17,8958.97,False
44,Persona|Cliente,Christine,Roman,735.665.2707,4144045895655,1989-06-26,25,6744524,True,789013,,,,,
45,Persona|Cliente,Peggy,Kelley,391-545-6166,5904969458875,1974-06-06,26,8128705,True,613984,,,,,
46,Persona,Rebecca,Peters,001-608-854-9523x0925,7921402179189,1978-01-20,,,,,,,,,
47,Persona|Cliente,Michael,Green,768.932.7586x68193,8801400582867,2005-04-01,27,1825601,False,,,,,,
48,Persona,Mark,Berry,549.861.2769,1881336322873,1984-05-27,,,,,,,,,
49,Persona,Glen,Baxter,559.827.8713x5248,7447896923371,1961-07-28,,,,,,,,,
50,Persona|Cliente,Christopher,West,412.614.9432,3248828413887,2000-10-30,28,1280953,True,407301,,,,,
51,Persona|Cliente,Thomas,Kirk,+1-401-851-3802,6997019252734,1986-08-25,29,9150098,False,,,,,,
52,Persona|Cliente,Kristina,Cooper,225.885.4056,8808469948475,1971-10-07,30,1545270,False,,,,,,
53,Persona|Cliente|Personal,Angela,Rogers,269.564.5360x7395,9868994084716,1966-08-01,31,9809632,True,471907,2011-05-27,Supervisor,18,3566.68,False
54,Persona|Cliente,Walter,Webb,240-200-5833x9964,4149286984050,1968-11-13,32,1709020,True,142511,,,,,
55,Persona|Personal,Jesse,Rangel,(409)840-4330x0926,2433151531946,2002-08-28,,,,,2022-09-15,Gerente,19,10737.95,False
56,Persona|Personal,Jessica,Warren,561-730-0011,6560715570462,1998-07-30,,,,,2010-04-23,Gerente,20,4565.22,False
57,Persona,Steven,Spence,(889)965-1786x2780,2724869566317,2003-08-13,,,,,,,,,
58,Persona,Michele,Booker,+1-550-342-3421x856,3043618437971,1997-12-25,,,,,,,,,
59,Persona|Cliente|Personal,Amy,Rodriguez,489.938.3322,2179844506416,1986-07-26,33,2547094,True,200343,2018-01-31,Supervisor,21,11638.31,True
60,Persona|Cliente|Personal,Jessica,Lopez,(497)564-3966x33445,6488880730452,1962-05-17,34,3791553,True,678831,2024-11-06,Vendedor,22,14635.93,False
61,Persona|Cliente,Michael,Liu,947.811.4723x057,6894991055345,1963-06-10,35,1051815,False,,,,,,
62,Persona|Cliente|Personal,Ana,Boyle,001-532-846-9087x163,8457572577308,1974-07-11,36,7374149,True,526164,2013-08-12,Gerente,23,13254.82,True
63,Persona|Personal,Tracy,Johnson,7736275638,2349140138706,1961-09-17,,,,,2018-08-22,Cajero,24,12461.04,False
64,Persona|Cliente,David,Miller,795.894.6919x926,9877441617132,1960-09-13,37,6044520,False,,,,,,
65,Persona|Personal,Jesse,Galloway,517.826.0251x885,7606136568895,1970-03-19,,,,,2014-10-26,Vendedor,25,3134.27,True
66,Persona|Personal,Daniel,Mays,(673)637-2629,8083667996948,1968-09-25,,,,,2011-11-07,Vendedor,26,9966.02,False
67,Persona,Theodore,Lee,001-741-956-3119x254,7020439548941,1968-10-09,,,,,,,,,
68,Persona|Cliente|Personal,Jack,Moreno,(872)428-4111x1858,1567398716019,2003-06-14,38,7564548,True,764590,2017-06-12,Supervisor,27,7735.49,False
69,Persona|Cliente,Stephen,Valdez,(273)833-1228x5253,4212626207509,1997-05-13,39,9072036,False,,,,,,
70,Persona|Cliente,Barbara,Mason,2714259008,7829130476890,1977-09-28,40,1804624,False,,,,,,
71,Persona|Cliente,Alexander,Miller,914.448.2712,9410690722894,2003-10-10,41,3506325,False,,,,,,
72,Persona|Cliente|Personal,Anna,Gonzalez,525-694-4124,6533285444768,2002-05-21,42,7990358,False,,2019-09-22,Supervisor,28,11790.05,True
73,Persona,Adrian,Landry,+1-401-397-7085,2118222092212,1980-06-13,,,,,,,,,
74,Persona|Cliente,Wendy,Newman,888.288.7124,6176580764015,1993-08-17,43,3151921,False,,,,,,
75,Persona,Tanner,Murphy,902-580-7769x18564,5475761365048,1981-07-04,,,,,,,,,
76,Persona|Cliente|Personal,Victor,Conrad,(599)410-2909x333,6016881317402,1966-04-20,44,4459377,True,322424,2018-11-12,Cajero,29,10659.9,False
77,Persona,James,Burke,617.824.3328,8639985332738,1973-11-27,,,,,,,,,
78,Persona|Personal,Patricia,Stewart,762-253-9528x473,3578076860621,2003-04-10,,,,,2024-02-21,Supervisor,30,6367.73,False
79,Persona|Cliente|Personal,Sarah,Walter,+1-701-966-4167x64069,1530524774393,1964-12-21,45,2359949,False,,2012-09-29,Repartidor,31,4356.49,False
80,Persona|Cliente|Personal,Kyle,Figueroa,5653272774,5073542762052,1960-04-18,46,1156469,False,,2018-11-09,Cajero,32,14837.88,True
81,Persona|Cliente|Personal,Patricia,Hurley,452.440.2722,7242760760249,1983-05-02,47,8516293,True,555830,2019-01-26,Repartidor,33,12490.84,True
82,Persona|Cliente|Personal,Regina,Gillespie,546-452-8781,6591028998981,1997-02-15,48,3454676,False,,2014-02-24,Supervisor,34,7155.64,True
83,Persona|Cliente,Monique,Perez,+1-323-532-6653x18517,6436602554368,2005-12-24,49,7940359,True,594455,,,,,
84,Persona|Cliente,James,Perez,676.754.2753x51262,7239963208424,1972-10-26,50,6899745,False,,,,,,
85,Persona|Cliente,Jacqueline,Jackson,(921)926-9206x625,9077902726496,1974-07-23,51,7057955,True,246163,,,,,
86,Persona|Cliente|Personal,Kathryn,Stewart,985.811.6117x0047,5672664776819,1986-12-13,52,3763722,True,573207,2019-11-20,Gerente,35,4032.89,True
87,Persona|Cliente|Personal,Jessica,Beasley,(261)491-7813x96388,3786595847722,1996-06-29,53,1237755,False,,2017-06-03,Vendedor,36,11854.99,True
88,Persona|Cliente|Personal,Christopher,Ortiz,+1-883-280-3563,9727171516528,1985-04-22,54,7929091,True,604911,2012-01-31,Supervisor,37,5456.74,True
89,Persona,Marcus,Taylor,(491)300-0708x492,9962777132118,2002-02-04,,,,,,,,,
90,Persona|Cliente,Steven,Garcia,001-213-666-9549x7792,5382801358355,1992-11-18,55,4512725,True,709696,,,,,
91,Persona,Jay,Rogers,802.266.1904,9224977856861,1976-07-29,,,,,,,,,
92,Persona,Harold,Marshall,7837004495,1299996307079,1993-12-04,,,,,,,,,
93,Persona,Daniel,Melton,+1-891-895-0761x77727,3631830802770,1964-02-15,,,,,,,,,
94,Persona,Michael,Bonilla,270.533.6432,4679794832397,1974-09-12,,,,,,,,,
95,Persona|Cliente,Sara,Lamb,001-992-964-4948,3655532645447,2002-07-14,56,2654448,False,,,,,,
96,Persona|Cliente,Stephen,Brown,(803)426-7709x6769,8800903286095,2004-05-01,57,6053041,False,,,,,,
97,Persona|Cliente|Personal,Christopher,Rios,769-348-3131x3361,1874114099834,1985-03-10,58,6681641,True,805250,2018-04-23,Vendedor,38,6068.87,True
98,Persona|Cliente,Sarah,Waters,536-502-9693x7355,9024125830298,2005-10-01,59,7947583,True,195453,,,,,
99,Persona|Cliente,Stephen,Hill,001-934-278-0518x773,1075866527169,1972-06-05,60,8618694,True,812590,,,,,
100,Persona|Cliente|Personal,Gregory,Watts,892.771.7778,7849502539602,1999-10-24,61,9357198,False,,2016-03-09,Supervisor,39,9147.5,True
101,Persona,Stacy,Cordova,957-803-8616x1834,5159801521080,1972-04-25,,,,,,,,,
102,Persona|Cliente,Andrew,Hubbard,001-471-626-4212x5585,8545030334555,1961-04-01,62,4022081,True,359954,,,,,
103,Persona,Ethan,Bauer,001-551-949-5949x22150,4774957792988,1984-12-08,,,,,,,,,
104,Persona|Cliente|Personal,Joel,Hahn,460.267.3873x8100,2443334943186,1997-02-03,63,9973371,True,486348,2015-01-29,Vendedor,40,11711.59,True
105,Persona|Cliente|Personal,Jennifer,Ewing,(417)431-4912,2760336345939,1968-10-01,64,6617295,False,,2019-02-07,Repartidor,41,9735.24,True
106,Persona|Cliente|Personal,Melissa,Moore,(930)212-3018x643,9475296126049,1971-09-09,65,7346263,True,407632,2015-03-20,Repartidor,42,10136.76,True
107,Persona|Cliente,Connor,Whitney,001-372-530-7447x4801,7750783783622,1996-09-20,66,3184942,False,,,,,,
108,Persona|Cliente,Lisa,Henderson,691-990-9402,4658732181811,1977-08-12,67,8754640,False,,,,,,
109,Persona|Cliente,Alyssa,Lewis,775.995.4173,6592244798875,1972-04-12,68,6134260,False,,,,,,
110,Persona|Personal,Jennifer,Wong,001-904-512-1107,6637731787412,1968-12-08,,,,,2011-09-13,Vendedor,43,8583.51,False
111,Persona,James,Lamb,001-857-463-2844x2557,7502577429264,1990-01-15,,,,,,,,,
112,Persona|Cliente|Personal,Bruce,Sanchez,001-937-336-2164x04349,4844824540160,1983-12-21,69,1924853,True,953631,2014-02-07,Supervisor,44,11294.25,True
113,Persona|Cliente,Joe,Cordova,+1-825-555-3704x3128,5686210937045,1993-06-13,70,9223613,True,180228,,,,,
114,Persona|Cliente|Personal,Nicholas,Alvarez,252.815.9576x8456,8697658307180,1997-01-25,71,4144874,True,456361,2023-08-20,Gerente,45,10585.43,False
115,Persona,Edward,Jacobson,(716)277-3397x16872,1190236308376,1985-06-28,,,,,,,,,
116,Persona|Cliente,Joyce,Bartlett,001-800-247-4057x44648,1964336877175,1966-08-28,72,1660748,False,,,,,,
117,Persona|Cliente|Personal,Christine,Diaz,+1-388-750-6880,7108153099250,1998-04-24,73,1257472,True,997731,2012-03-03,Gerente,46,6466.57,False
118,Persona|Cliente|Personal,Anna,Gonzales,298.654.0097x3420,8198715361504,1998-11-12,74,6182723,True,196619,2012-10-16,Cajero,47,3882.16,False
119,Persona,Xavier,Shelton,+1-219-618-1757,6641416764644,1990-08-17,,,,,,,,,
120,Persona,Robert,Rocha,360.633.3964x8843,6236264749933,1972-05-10,,,,,,,,,
121,Persona,Melissa,Alvarado,887.466.6412,2477824567601,2001-05-14,,,,,,,,,
122,Persona|Cliente,Gina,Humphrey,327.667.1871x78310,5229488887774,1962-12-21,75,2352653,True,996081,,,,,
123,Persona|Personal,Brian,Fowler,608-905-9525x524,5389682664042,1972-08-04,,,,,2018-03-16,Vendedor,48,6768.29,True
124,Persona|Personal,Joseph,Gill,(725)815-6231x0800,7843381991732,1969-08-11,,,,,2012-12-23,Cajero,49,10851.52,True
125,Persona|Cliente,Brenda,Decker,(574)730-2317,6547246703913,1991-04-16,76,2569474,False,,,,,,
126,Persona,Patrick,Nicholson,(812)202-9361x42117,6821590209550,1982-08-14,,,,,,,,,
127,Persona|Cliente,Susan,Avila,519.210.2407,2177463455940,1983-04-17,77,5784517,True,860960,,,,,
128,Persona|Cliente|Personal,Nicole,King,001-617-598-9461x777,5787377203629,1982-02-15,78,1114330,False,,2023-02-18,Repartidor,50,14061.01,True
129,Persona|Cliente,Chloe,Burke,+1-790-541-7277x445,2961719820636,2005-07-21,79,9427539,False,,,,,,
130,Persona,David,Woodward,+1-756-687-6809x2988,6762060403090,1963-09-22,,,,,,,,,
131,Persona|Cliente|Personal,Allen,Porter,001-998-304-4761x17639,7132648498202,1981-09-16,80,3152631,False,,2020-09-19,Supervisor,51,13278.22,False
132,Persona|Personal,Lindsey,Huynh,603-306-0143x98056,4753975043033,1999-08-14,,,,,2010-01-29,Vendedor,52,7104.57,False
133,Persona|Cliente,Devin,Rose,706-226-4250,2773707368195,1985-08-15,81,6158756,True,172308,,,,,
134,Persona,Marvin,Santana,001-954-383-0958x58214,7237960131225,1962-01-11,,,,,,,,,
135,Persona|Cliente|Personal,Robert,Mahoney,918.956.9474x918,6775920078483,1987-06-14,82,5399958,True,342535,2022-03-19,Cajero,53,10910.85,True
136,Persona|Cliente|Personal,Andre,Harris,214.344.7038x006,1798415007494,1997-04-23,83,4621777,True,400881,2018-11-29,Repartidor,54,11599.2,False
137,Persona|Cliente|Personal,David,Barnett,001-871-469-7239x41671,5482737221531,1997-01-28,84,2524535,True,241412,2011-08-18,Vendedor,55,3392.09,False
138,Persona|Cliente,Alexandria,Chandler,(456)226-5983,3330916407017,1980-08-10,85,2859072,False,,,,,,
139,Persona|Cliente,Amy,Davis,(348)849-1568,6024347992892,1986-04-28,86,1187230,True,367640,,,,,
140,Persona|Personal,Jennifer,Smith,+1-788-859-0708,3257978211232,1991-01-28,,,,,2012-11-28,Supervisor,56,14901.06,False
141,Persona|Cliente|Personal,Martha,Perry,001-401-957-3404,4263090867950,1986-09-21,87,2157244,True,468547,2016-08-29,Vendedor,57,4781.84,True
142,Persona|Cliente|Personal,Curtis,King,586.569.8759,2536760912758,1982-09-22,88,5294934,True,528861,2024-08-07,Supervisor,58,14585.25,True
143,Persona|Cliente,Kevin,Smith,698-950-5203x494,6716790698453,1963-11-06,89,6531253,True,656987,,,,,
144,Persona|Cliente,Michael,Marshall,(981)677-8536x81619,8888616579594,1969-09-13,90,7611540,False,,,,,,
145,Persona|Cliente,Audrey,Ramirez,972-445-3380x5047,3631471037589,1996-12-15,91,7427786,False,,,,,,
146,Persona|Cliente,Jill,Knox,001-370-326-2322,6727484034444,1991-11-10,92,1977910,False,,,,,,
147,Persona,Jeremiah,Espinoza,001-241-416-9357,2709874838296,2005-12-21,,,,,,,,,
148,Persona,Andrew,White,6975990337,2738948533058,1982-10-19,,,,,,,,,
149,Persona|Cliente|Personal,Kimberly,Phillips,001-667-637-7993x215,9670313360792,1976-05-27,93,7743205,False,,2020-03-24,Supervisor,59,12712.8,True
150,Persona|Cliente,Tamara,Gonzales,652-626-2100x02530,7502825812965,1978-09-04,94,4533083,True,146787,,,,,
151,Persona|Cliente|Personal,Vincent,Thompson,001-832-249-4015,2074457748088,1971-06-23,95,5898886,True,418156,2020-11-17,Gerente,60,10067.52,True
152,Persona|Cliente|Personal,Sarah,Kelly,001-675-905-9949x666,5301407857928,1970-03-28,96,4883572,True,615286,2021-05-11,Repartidor,61,12513.84,True
153,Persona|Personal,William,Moreno,4504091423,7184037003631,1969-02-21,,,,,2018-02-28,Vendedor,62,10833.53,True
154,Persona,April,Burnett,4283203153,7352877056722,2002-06-21,,,,,,,,,
155,Persona,Stephanie,Hill,771.445.4380,4915752229512,1977-07-01,,,,,,,,,
156,Persona|Cliente|Personal,James,Khan,230-352-6693,7636943602303,2003-08-15,97,1190523,False,,2010-12-23,Cajero,63,14733.06,True
157,Persona,Rhonda,Sanchez,+1-286-258-6980x85103,5071974795380,1990-05-07,,,,,,,,,
158,Persona,Shelley,Grant,+1-306-273-3075,5219192916926,1995-06-03,,,,,,,,,
159,Persona|Personal,Michael,Martinez,+1-627-973-5134x239,9687457964448,1964-01-05,,,,,2010-01-21,Repartidor,64,14077.31,False
160,Persona|Cliente|Personal,Joshua,Thompson,977.369.4206,6855678633474,1967-02-02,98,1464035,False,,2016-10-03,Supervisor,65,14922.19,True
161,Persona|Cliente,William,Lewis,001-765-761-4556x10749,7171190011183,1983-06-16,99,5295260,True,838275,,,,,
162,Persona,Pamela,Hensley,001-572-428-3964,9746811682138,1988-03-05,,,,,,,,,
163,Persona|Cliente,Lisa,White,464-967-9540,1454069852499,1964-09-28,100,7754413,True,232351,,,,,
164,Persona|Personal,Alisha,Velasquez,3092232396,1888669963647,2003-07-05,,,,,2018-09-18,Gerente,66,8810.57,False
165,Persona|Personal,Jessica,Browning,9999521359,5844981096873,1961-02-23,,,,,2022-07-01,Vendedor,67,13695.62,True
166,Persona|Cliente,Matthew,James,+1-872-967-7706x773,8406816423013,1975-11-29,101,8145128,False,,,,,,
167,Persona|Cliente,Nathan,Young,221-716-5915x992,7472681079946,1978-05-31,102,1126209,True,656594,,,,,
168,Persona|Cliente|Personal,Dean,Chandler,322-825-0034x29925,9111891221796,1994-05-01,103,3627925,True,239896,2022-06-10,Vendedor,68,6998.79,False
169,Persona|Cliente|Personal,Lauren,Benjamin,+1-288-727-1792x844,2882014242819,1972-11-22,104,5283064,False,,2023-05-14,Repartidor,69,6452.2,True
170,Persona|Cliente|Personal,Jessica,Hess,(605)218-4322x8107,9070658979411,1993-09-13,105,2474109,True,644681,2024-11-14,Gerente,70,8926.61,True
171,Persona|Cliente,Jennifer,Stewart,(318)922-5113x06231,6581803215349,2003-03-04,106,5248582,False,,,,,,
172,Persona|Cliente|Personal,Jesse,Smith,251.711.7467x85899,6760113071723,1998-12-26,107,9777421,False,,2018-03-31,Cajero,71,12761.16,True
173,Persona|Cliente,Paul,Petersen,001-690-976-1100,1753836788512,1986-12-08,108,8897226,True,398877,,,,,
174,Persona|Cliente|Personal,Mark,Murphy,(796)890-8229,4423327334396,1980-07-24,109,6054278,True,108766,2010-10-02,Supervisor,72,5957.43,True
175,Persona|Cliente,Thomas,Vasquez,+1-364-997-4265,8534541335118,1988-05-31,110,4748485,True,978639,,,,,
176,Persona,Beverly,Erickson,(694)504-0574,2525021032882,1979-06-16,,,,,,,,,
177,Persona|Cliente|Personal,Eric,Smith,+1-460-202-4133,9827780824219,1999-06-09,111,5601670,False,,2020-10-09,Repartidor,73,8023.8,True
178,Persona,Brandon,Dominguez,3563436904,7420403580084,1991-07-06,,,,,,,,,
179,Persona,Thomas,Jensen,4156054927,4881647204635,1963-06-07,,,,,,,,,
180,Persona|Cliente,Kimberly,Burton,+1-848-953-8810x66492,8020956693200,2003-01-26,112,5559059,False,,,,,,
181,Persona,James,Nguyen,(238)956-0736x99556,1846675203922,1980-07-20,,,,,,,,,
182,Persona,Casey,Adkins,(468)421-3912,9456888320391,1998-02-12,,,,,,,,,
183,Persona,Justin,Carson,896-776-9409,2259071647018,1962-01-09,,,,,,,,,
184,Persona|Cliente,Lisa,Scott,+1-795-438-3475x7855,9775847269096,1988-12-21,113,9977519,False,,,,,,
185,Persona|Personal,Brandon,Diaz,001-356-732-8092x2802,8937187713435,1964-09-06,,,,,2021-06-13,Gerente,74,5454.72,True
186,Persona,Jose,Chase,330.353.9208,2341018235617,1992-02-24,,,,,,,,,
187,Persona,Christina,Ryan,(890)278-1574x14776,7194984090971,1983-06-19,,,,,,,,,
188,Persona,Jose,Hogan,8375382724,6431446287410,1966-02-27,,,,,,,,,
189,Persona|Cliente|Personal,Ryan,Hardin,231-531-8162,4249461149946,1962-03-12,114,5298171,False,,2011-08-03,Supervisor,75,13274.69,True
190,Persona|Cliente,Kevin,Woods,+1-672-742-9948x4643,1723453171425,1961-08-30,115,1998467,True,649384,,,,,
191,Persona|Cliente|Personal,Kenneth,Smith,500.614.1607x4314,7748786480325,1996-03-26,116,4425696,False,,2017-07-12,Gerente,76,4001.74,True
192,Persona|Cliente,Thomas,Williams,001-646-558-1352x2601,4210648476569,1995-04-19,117,4178749,True,223116,,,,,
193,Persona|Cliente,Shelley,Smith,720-459-1463x5694,6352731051499,2003-09-20,118,3596944,True,542105,,,,,
194,Persona|Cliente,Jamie,Walter,947.454.5085,5835535965109,1993-10-23,119,7774734,True,830342,,,,,
195,Persona,Laura,Conner,001-493-935-5522x90021,9241966323722,1995-09-21,,,,,,,,,
196,Persona|Personal,Justin,Nichols,431-661-2257,6297858251636,1974-06-28,,,,,2019-05-09,Gerente,77,4560.64,False
197,Persona,Andre,Leon,2685895012,5030250425370,1965-04-30,,,,,,,,,
198,Persona|Cliente,Jeffrey,Davis,212.798.1852x92884,4730321121980,1987-05-12,120,8595703,True,362120,,,,,
199,Persona|Cliente|Personal,Nancy,Wilson,001-980-555-7419x95842,1329215470769,1987-06-17,121,3608814,True,258652,2010-10-29,Gerente,78,6743.61,True
200,Persona,Michael,Johns,7132582831,5929914546303,2002-01-25,,,,,,,,,
201,Persona|Cliente,Loretta,Bennett,+1-201-785-9522x067,5773489900050,1963-03-09,122,8171701,False,,,,,,
202,Persona|Cliente|Personal,Kimberly,Morris,522.391.0092,5205842830617,1960-11-18,123,5039739,True,537596,2011-02-11,Repartidor,79,10553.33,False
203,Persona|Cliente,Katherine,Nelson,001-886-960-5345x7329,4949160006992,2001-08-27,124,9880966,False,,,,,,
204,Persona|Cliente,James,Everett,3652820872,1822622631747,1980-08-04,125,1054644,False,,,,,,
205,Persona|Cliente,Sherry,Hernandez,(900)763-9331x5187,2921116834746,1998-05-07,126,7185017,False,,,,,,
206,Persona|Cliente|Personal,Wayne,Juarez,894.368.4500x12716,8227935069079,1990-08-20,127,3248733,True,958920,2020-12-08,Gerente,80,8316.5,False
207,Persona|Cliente,Jeremy,Jones,246.583.9231x4178,8093883825748,1991-04-17,128,9822209,True,869888,,,,,
208,Persona|Cliente,Barbara,Long,262-494-9018x485,3780044072888,1979-09-30,129,9066127,True,569901,,,,,
209,Persona|Cliente,Susan,Patel,+1-645-708-9286x11895,2610437483891,2005-10-29,130,3769026,True,402749,,,,,
210,Persona,Jessica,Pierce,001-408-338-7263,1997946705674,1972-01-23,,,,,,,,,
211,Persona,Amber,Smith,513.988.6561x10989,1544425348401,1960-09-02,,,,,,,,,
212,Persona,Joseph,Proctor,230-917-8280x1622,9341228557564,1986-06-14,,,,,,,,,
213,Persona|Cliente|Personal,Bradley,Washington,706.449.9610,1113952096736,1963-12-10,131,1150024,False,,2018-04-11,Gerente,81,5236.98,True
214,Persona,Vanessa,Lewis,(587)367-7669x088,1432350669039,1983-03-21,,,,,,,,,
215,Persona,Connie,Peters,(391)651-2062x806,6519850882259,2004-12-01,,,,,,,,,
216,Persona|Cliente|Personal,Jason,Suarez,001-209-393-6711x67851,5956473713080,1997-06-17,132,8831932,True,907735,2020-04-06,Repartidor,82,10727.65,True
217,Persona|Cliente|Personal,Michael,Fitzgerald,(696)640-5353x830,9869319292450,1997-07-30,133,3740117,False,,2022-05-03,Vendedor,83,5461.96,False
218,Persona|Cliente|Personal,John,Gay,+1-276-253-6594,7961343468542,2001-09-08,134,9980751,True,979221,2015-11-11,Supervisor,84,12374.16,False
219,Persona|Cliente,Adrienne,Reyes,(313)692-9229x9038,8625232876658,1969-05-23,135,3447301,False,,,,,,
220,Persona|Cliente|Personal,Justin,Jensen,415.869.9705x942,7990656073710,1984-03-28,136,9910984,False,,2010-01-24,Gerente,85,3122.23,False
221,Persona|Personal,Nicole,Lopez,001-755-338-0742x05508,5521845943803,1967-09-10,,,,,2014-10-01,Supervisor,86,14035.47,False
222,Persona|Cliente|Personal,Darrell,Jenkins,001-243-893-3656x5896,6286625639880,1978-06-03,137,8761597,True,284854,2021-08-06,Cajero,87,9062.63,False
223,Persona|Personal,Rebecca,Pope,519-429-2156x9985,1117337396103,1987-09-07,,,,,2013-11-08,Gerente,88,12465.82,False
